Id,name,provinsi_id,created_at,updated_at
1,Kabupaten Aceh Barat,1,,
2,Kabupaten Aceh Barat Daya,1,,
3,Kabupaten Aceh Besar,1,,
4,Kabupaten Aceh Jaya,1,,
5,Kabupaten Aceh Selatan,1,,
6,Kabupaten Aceh Singkil,1,,
7,Kabupaten Aceh Tamiang,1,,
8,Kabupaten Aceh Tengah,1,,
9,Kabupaten Aceh Tenggara,1,,
10,Kabupaten Aceh Timur,1,,
11,Kabupaten Aceh Utara,1,,
12,Kabupaten Bener Meriah,1,,
13,Kabupaten Bireuen,1,,
14,Kabupaten Gayo Lues,1,,
15,Kabupaten Nagan Raya,1,,
16,Kabupaten Pidie,1,,
17,Kabupaten Pidie Jaya,1,,
18,Kabupaten Simeulue,1,,
19,Kota Banda Aceh,1,,
20,Kota Langsa,1,,
21,Kota Lhokseumawe,1,,
22,Kota Sabang,1,,
23,Kota Subulussalam,1,,
24,Kabupaten Asahan,2,,
25,Kabupaten Batu Bara,2,,
26,Kabupaten Dairi,2,,
27,Kabupaten Deli Serdang,2,,
28,Kabupaten Humbang Hasundutan,2,,
29,Kabupaten Karo,2,,
30,Kabupaten Labuhanbatu,2,,
31,Kabupaten Labuhanbatu Selatan,2,,
32,Kabupaten Labuhanbatu Utara,2,,
33,Kabupaten Langkat,2,,
34,Kabupaten Mandailing Natal,2,,
35,Kabupaten Nias,2,,
36,Kabupaten Nias Barat,2,,
37,Kabupaten Nias Selatan,2,,
38,Kabupaten Nias Utara,2,,
39,Kabupaten Padang Lawas,2,,
40,Kabupaten Padang Lawas Utara,2,,
41,Kabupaten Pakpak Bharat,2,,
42,Kabupaten Samosir,2,,
43,Kabupaten Serdang Bedagai,2,,
44,Kabupaten Simalungun,2,,
45,Kabupaten Tapanuli Selatan,2,,
46,Kabupaten Tapanuli Tengah,2,,
47,Kabupaten Tapanuli Utara,2,,
48,Kabupaten Toba,2,,
49,Kota Binjai,2,,
50,Kota Gunungsitoli,2,,
51,Kota Medan,2,,
52,Kota Padang Sidempuan,2,,
53,Kota Pematangsiantar,2,,
54,Kota Sibolga,2,,
55,Kota Tanjungbalai,2,,
56,Kota Tebing Tinggi,2,,
57,Kabupaten Agam,3,,
58,Kabupaten Dharmasraya,3,,
59,Kabupaten Kepulauan Mentawai,3,,
60,Kabupaten Lima Puluh Kota,3,,
61,Kabupaten Padang Pariaman,3,,
62,Kabupaten Pasaman,3,,
63,Kabupaten Pasaman Barat,3,,
64,Kabupaten Pesisir Selatan,3,,
65,Kabupaten Sijunjung,3,,
66,Kabupaten Solok,3,,
67,Kabupaten Solok Selatan,3,,
68,Kabupaten Tanah Datar,3,,
69,Kota Bukittinggi,3,,
70,Kota Padang,3,,
71,Kota Padang Panjang,3,,
72,Kota Pariaman,3,,
73,Kota Payakumbuh,3,,
74,Kota Sawahlunto,3,,
75,Kota Solok,3,,
76,Kabupaten Bengkalis,4,,
77,Kabupaten Indragiri Hilir,4,,
78,Kabupaten Indragiri Hulu,4,,
79,Kabupaten Kampar,4,,
80,Kabupaten Kepulauan Meranti,4,,
81,Kabupaten Kuantan Singingi,4,,
82,Kabupaten Pelalawan,4,,
83,Kabupaten Rokan Hilir,4,,
84,Kabupaten Rokan Hulu,4,,
85,Kabupaten Siak,4,,
86,Kota Dumai,4,,
87,Kota Pekanbaru,4,,
88,Kabupaten Bintan,5,,
89,Kabupaten Karimun,5,,
90,Kabupaten Kepulauan Anambas,5,,
91,Kabupaten Lingga,5,,
92,Kabupaten Natuna,5,,
93,Kota Batam,5,,
94,Kota Tanjungpinang,5,,
95,Kabupaten Batanghari,6,,
96,Kabupaten Bungo,6,,
97,Kabupaten Kerinci,6,,
98,Kabupaten Merangin,6,,
99,Kabupaten Muaro Jambi,6,,
100,Kabupaten Sarolangun,6,,
101,Kabupaten Tanjung Jabung Barat,6,,
102,Kabupaten Tanjung Jabung Timur,6,,
103,Kabupaten Tebo,6,,
104,Kota Jambi,6,,
105,Kota Sungai Penuh,6,,
106,Kabupaten Bengkulu Selatan,7,,
107,Kabupaten Bengkulu Tengah,7,,
108,Kabupaten Bengkulu Utara,7,,
109,Kabupaten Kaur,7,,
110,Kabupaten Kepahiang,7,,
111,Kabupaten Lebong,7,,
112,Kabupaten Mukomuko,7,,
113,Kabupaten Rejang Lebong,7,,
114,Kabupaten Seluma,7,,
115,Kota Bengkulu,7,,
116,Kabupaten Banyuasin,8,,
117,Kabupaten Empat Lawang,8,,
118,Kabupaten Lahat,8,,
119,Kabupaten Muara Enim,8,,
120,Kabupaten Musi Banyuasin,8,,
121,Kabupaten Musi Rawas,8,,
122,Kabupaten Musi Rawas Utara,8,,
123,Kabupaten Ogan Ilir,8,,
124,Kabupaten Ogan Komering Ilir,8,,
125,Kabupaten Ogan Komering Ulu,8,,
126,Kabupaten Ogan Komering Ulu Selatan,8,,
127,Kabupaten Ogan Komering Ulu Timur,8,,
128,Kabupaten Penukal Abab Lematang Ilir,8,,
129,Kota Lubuklinggau,8,,
130,Kota Pagar Alam,8,,
131,Kota Palembang,8,,
132,Kota Prabumulih,8,,
133,Kabupaten Bangka,9,,
134,Kabupaten Bangka Barat,9,,
135,Kabupaten Bangka Selatan,9,,
136,Kabupaten Bangka Tengah,9,,
137,Kabupaten Belitung,9,,
138,Kabupaten Belitung Timur,9,,
139,Kota Pangkal Pinang,9,,
140,Kabupaten Lampung Barat,10,,
141,Kabupaten Lampung Selatan,10,,
142,Kabupaten Lampung Tengah,10,,
143,Kabupaten Lampung Timur,10,,
144,Kabupaten Lampung Utara,10,,
145,Kabupaten Mesuji,10,,
146,Kabupaten Pesawaran,10,,
147,Kabupaten Pesisir Barat,10,,
148,Kabupaten Pringsewu,10,,
149,Kabupaten Tanggamus,10,,
150,Kabupaten Tulang Bawang,10,,
151,Kabupaten Tulang Bawang Barat,10,,
152,Kabupaten Way Kanan,10,,
153,Kota Bandar Lampung,10,,
154,Kota Metro,10,,
155,Kabupaten Lebak ,11,,
156,Kabupaten Pandeglang ,11,,
157,Kabupaten Serang ,11,,
158,Kabupaten Tangerang ,11,,
159,Kota Cilegon ,11,,
160,Kota Serang ,11,,
161,Kota Tangerang ,11,,
162,Kota Tangerang Selatan ,11,,
163,Kabupaten Bandung ,12,,
164,Kabupaten Bandung Barat ,12,,
165,Kabupaten Bekasi ,12,,
166,Kabupaten Bogor ,12,,
167,Kabupaten Ciamis ,12,,
168,Kabupaten Cianjur ,12,,
169,Kabupaten Cirebon ,12,,
170,Kabupaten Garut ,12,,
171,Kabupaten Indramayu ,12,,
172,Kabupaten Karawang ,12,,
173,Kabupaten Kuningan ,12,,
174,Kabupaten Majalengka ,12,,
175,Kabupaten Pangandaran ,12,,
176,Kabupaten Purwakarta ,12,,
177,Kabupaten Subang ,12,,
178,Kabupaten Sukabumi ,12,,
179,Kabupaten Sumedang ,12,,
180,Kabupaten Tasikmalaya ,12,,
181,Kota Bandung ,12,,
182,Kota Banjar ,12,,
183,Kota Bekasi ,12,,
184,Kota Bogor ,12,,
185,Kota Cimahi ,12,,
186,Kota Cirebon ,12,,
187,Kota Depok ,12,,
188,Kota Sukabumi ,12,,
189,Kota Tasikmalaya ,12,,
190,kabupaten administrasi kepulauan seribu,13,,
191,Kota Administrasi Jakarta Barat ,13,,
192,Kota Administrasi Jakarta Pusat ,13,,
193,Kota Administrasi Jakarta Selatan ,13,,
194,Kota Administrasi Jakarta Timur ,13,,
195,Kota Administrasi Jakarta Utara ,13,,
196,Kabupaten Banjarnegara ,14,,
197,Kabupaten Banyumas ,14,,
198,Kabupaten Batang ,14,,
199,Kabupaten Blora ,14,,
200,Kabupaten Boyolali ,14,,
201,Kabupaten Brebes ,14,,
202,Kabupaten Cilacap ,14,,
203,Kabupaten Demak ,14,,
204,Kabupaten Grobogan ,14,,
205,Kabupaten Jepara ,14,,
206,Kabupaten Karanganyar ,14,,
207,Kabupaten Kebumen ,14,,
208,Kabupaten Kendal ,14,,
209,Kabupaten Klaten ,14,,
210,Kabupaten Kudus ,14,,
211,Kabupaten Magelang ,14,,
212,Kabupaten Pati ,14,,
213,Kabupaten Pekalongan ,14,,
214,Kabupaten Pemalang ,14,,
215,Kabupaten Purbalingga ,14,,
216,Kabupaten Purworejo ,14,,
217,Kabupaten Rembang ,14,,
218,Kabupaten Semarang ,14,,
219,Kabupaten Sragen ,14,,
220,Kabupaten Sukoharjo ,14,,
221,Kabupaten Tegal ,14,,
222,Kabupaten Temanggung ,14,,
223,Kabupaten Wonogiri ,14,,
224,Kabupaten Wonosobo ,14,,
225,Kota Magelang ,14,,
226,Kota Pekalongan ,14,,
227,Kota Salatiga ,14,,
228,Kota Semarang ,14,,
229,Kota Surakarta ,14,,
230,Kota Tegal ,14,,
231,Kabupaten Bantul,15,,
232,Kabupaten Gunungkidul,15,,
233,Kabupaten Kulon Progo,15,,
234,Kabupaten Sleman,15,,
235,Kota Yogyakarta,15,,
236,Kabupaten Bangkalan ,16,,
237,Kabupaten Banyuwangi ,16,,
238,Kabupaten Blitar ,16,,
239,Kabupaten Bojonegoro ,16,,
240,Kabupaten Bondowoso ,16,,
241,Kabupaten Gresik ,16,,
242,Kabupaten Jember ,16,,
243,Kabupaten Jombang ,16,,
244,Kabupaten Kediri ,16,,
245,Kabupaten Lamongan ,16,,
246,Kabupaten Lumajang ,16,,
247,Kabupaten Madiun ,16,,
248,Kabupaten Magetan ,16,,
249,Kabupaten Malang ,16,,
250,Kabupaten Mojokerto ,16,,
251,Kabupaten Nganjuk ,16,,
252,Kabupaten Ngawi ,16,,
253,Kabupaten Pacitan ,16,,
254,Kabupaten Pamekasan ,16,,
255,Kabupaten Pasuruan ,16,,
256,Kabupaten Ponorogo ,16,,
257,Kabupaten Probolinggo ,16,,
258,Kabupaten Sampang ,16,,
259,Kabupaten Sidoarjo ,16,,
260,Kabupaten Situbondo ,16,,
261,Kabupaten Sumenep ,16,,
262,Kabupaten Trenggalek ,16,,
263,Kabupaten Tuban ,16,,
264,Kabupaten Tulungagung ,16,,
265,Kota Batu ,16,,
266,Kota Blitar ,16,,
267,Kota Kediri ,16,,
268,Kota Madiun ,16,,
269,Kota Malang ,16,,
270,Kota Mojokerto ,16,,
271,Kota Pasuruan ,16,,
272,Kota Probolinggo ,16,,
273,Kota Surabaya ,16,,
274,Kabupaten Badung,17,,
275,Kabupaten Bangli,17,,
276,Kabupaten Buleleng,17,,
277,Kabupaten Gianyar,17,,
278,Kabupaten Jembrana,17,,
279,Kabupaten Karangasem,17,,
280,Kabupaten Klungkung,17,,
281,Kabupaten Tabanan,17,,
282,Kota Denpasar,17,,
283,Kabupaten Bima,18,,
284,Kabupaten Dompu,18,,
285,Kabupaten Lombok Barat,18,,
286,Kabupaten Lombok Tengah,18,,
287,Kabupaten Lombok Timur,18,,
288,Kabupaten Lombok Utara,18,,
289,Kabupaten Sumbawa,18,,
290,Kabupaten Sumbawa Barat,18,,
291,Kota Bima,18,,
292,Kota Mataram,18,,
293,Kabupaten Alor,19,,
294,Kabupaten Belu,19,,
295,Kabupaten Ende,19,,
296,Kabupaten Flores Timur,19,,
297,Kabupaten Kupang,19,,
298,Kabupaten Lembata,19,,
299,Kabupaten Malaka,19,,
300,Kabupaten Manggarai,19,,
301,Kabupaten Manggarai Barat,19,,
302,Kabupaten Manggarai Timur,19,,
303,Kabupaten Nagekeo,19,,
304,Kabupaten Ngada,19,,
305,Kabupaten Rote Ndao,19,,
306,Kabupaten Sabu Raijua,19,,
307,Kabupaten Sikka,19,,
308,Kabupaten Sumba Barat,19,,
309,Kabupaten Sumba Barat Daya,19,,
310,Kabupaten Sumba Tengah,19,,
311,Kabupaten Sumba Timur,19,,
312,Kabupaten Timor Tengah Selatan,19,,
313,Kabupaten Timor Tengah Utara,19,,
314,Kota Kupang,19,,
315,Kabupaten Bengkayang,20,,
316,Kabupaten Kapuas Hulu,20,,
317,Kabupaten Kayong Utara,20,,
318,Kabupaten Ketapang,20,,
319,Kabupaten Kubu Raya,20,,
320,Kabupaten Landak,20,,
321,Kabupaten Melawi,20,,
322,Kabupaten Mempawah,20,,
323,Kabupaten Sambas,20,,
324,Kabupaten Sanggau,20,,
325,Kabupaten Sekadau,20,,
326,Kabupaten Sintang,20,,
327,Kota Pontianak,20,,
328,Kota Singkawang,20,,
329,Kabupaten Balangan,21,,
330,Kabupaten Banjar,21,,
331,Kabupaten Barito Kuala,21,,
332,Kabupaten Hulu Sungai Selatan,21,,
333,Kabupaten Hulu Sungai Tengah,21,,
334,Kabupaten Hulu Sungai Utara,21,,
335,Kabupaten Kotabaru,21,,
336,Kabupaten Tabalong,21,,
337,Kabupaten Tanah Bumbu,21,,
338,Kabupaten Tanah Laut,21,,
339,Kabupaten Tapin,21,,
340,Kota Banjarbaru,21,,
341,Kota Banjarmasin,21,,
342,Kabupaten Barito Selatan,22,,
343,Kabupaten Barito Timur,22,,
344,Kabupaten Barito Utara,22,,
345,Kabupaten Gunung Mas,22,,
346,Kabupaten Kapuas,22,,
347,Kabupaten Katingan,22,,
348,Kabupaten Kotawaringin Barat,22,,
349,Kabupaten Kotawaringin Timur,22,,
350,Kabupaten Lamandau,22,,
351,Kabupaten Murung Raya,22,,
352,Kabupaten Pulang Pisau,22,,
353,Kabupaten Sukamara,22,,
354,Kabupaten Seruyan,22,,
355,Kota Palangka Raya,22,,
356,Kabupaten Berau,23,,
357,Kabupaten Kutai Barat,23,,
358,Kabupaten Kutai Kartanegara,23,,
359,Kabupaten Kutai Timur,23,,
360,Kabupaten Mahakam Ulu,23,,
361,Kabupaten Paser,23,,
362,Kabupaten Penajam Paser Utara,23,,
363,Kota Balikpapan,23,,
364,Kota Bontang,23,,
365,Kota Samarinda,23,,
366,Kabupaten Bulungan,24,,
367,Kabupaten Malinau,24,,
368,Kabupaten Nunukan,24,,
369,Kabupaten Tana Tidung,24,,
370,Kota Tarakan,24,,
371,Kabupaten Boalemo,25,,
372,Kabupaten Bone Bolango,25,,
373,Kabupaten Gorontalo,25,,
374,Kabupaten Gorontalo Utara,25,,
375,Kabupaten Pohuwato,25,,
376,Kota Gorontalo,25,,
377,Kabupaten Majene,26,,
378,Kabupaten Mamasa,26,,
379,Kabupaten Mamuju,26,,
380,Kabupaten Mamuju Tengah,26,,
381,Kabupaten Pasangkayu,26,,
382,Kabupaten Polewali Mandar,26,,
383,Kabupaten Bantaeng ,27,,
384,Kabupaten Barru ,27,,
385,Kabupaten Bone ,27,,
386,Kabupaten Bulukumba ,27,,
387,Kabupaten Enrekang ,27,,
388,Kabupaten Gowa ,27,,
389,Kabupaten Jeneponto ,27,,
390,Kabupaten Kepulauan Selayar ,27,,
391,Kabupaten Luwu ,27,,
392,Kabupaten Luwu Timur ,27,,
393,Kabupaten Luwu Utara ,27,,
394,Kabupaten Maros ,27,,
395,Kabupaten Pangkajene dan Kepulauan ,27,,
396,Kabupaten Pinrang ,27,,
397,Kabupaten Sidenreng Rappang ,27,,
398,Kabupaten Sinjai ,27,,
399,Kabupaten Soppeng ,27,,
400,Kabupaten Takalar ,27,,
401,Kabupaten Tana Toraja ,27,,
402,Kabupaten Toraja Utara ,27,,
403,Kabupaten Wajo ,27,,
404,Kota Makassar ,27,,
405,Kota Palopo ,27,,
406,Kota Parepare ,27,,
407,Kabupaten Bombana,28,,
408,Kabupaten Buton,28,,
409,Kabupaten Buton Selatan,28,,
410,Kabupaten Buton Tengah,28,,
411,Kabupaten Buton Utara,28,,
412,Kabupaten Kolaka,28,,
413,Kabupaten Kolaka Timur,28,,
414,Kabupaten Kolaka Utara,28,,
415,Kabupaten Konawe,28,,
416,Kabupaten Konawe Kepulauan,28,,
417,Kabupaten Konawe Selatan,28,,
418,Kabupaten Konawe Utara,28,,
419,Kabupaten Muna,28,,
420,Kabupaten Muna Barat,28,,
421,Kabupaten Wakatobi,28,,
422,Kota Baubau,28,,
423,Kota Kendari,28,,
424,Kabupaten Banggai,29,,
425,Kabupaten Banggai Kepulauan,29,,
426,Kabupaten Banggai Laut,29,,
427,Kabupaten Buol,29,,
428,Kabupaten Donggala,29,,
429,Kabupaten Morowali,29,,
430,Kabupaten Morowali Utara,29,,
431,Kabupaten Parigi Moutong,29,,
432,Kabupaten Poso,29,,
433,Kabupaten Sigi,29,,
434,Kabupaten Tojo Una-Una,29,,
435,Kabupaten Tolitoli,29,,
436,Kota Palu,29,,
437,Kabupaten Bolaang Mongondow,30,,
438,Kabupaten Bolaang Mongondow Selatan,30,,
439,Kabupaten Bolaang Mongondow Timur,30,,
440,Kabupaten Bolaang Mongondow Utara,30,,
441,Kabupaten Kepulauan Sangihe,30,,
442,Kabupaten Kepulauan Siau Tagulandang Biaro,30,,
443,Kabupaten Kepulauan Talaud,30,,
444,Kabupaten Minahasa,30,,
445,Kabupaten Minahasa Selatan,30,,
446,Kabupaten Minahasa Tenggara,30,,
447,Kabupaten Minahasa Utara,30,,
448,Kota Bitung,30,,
449,Kota Kotamobagu,30,,
450,Kota Manado,30,,
451,Kota Tomohon,30,,
452,Kabupaten Buru,31,,
453,Kabupaten Buru Selatan,31,,
454,Kabupaten Kepulauan Aru,31,,
455,Kabupaten Kepulauan Tanimbar,31,,
456,Kabupaten Maluku Barat Daya,31,,
457,Kabupaten Maluku Tengah,31,,
458,Kabupaten Maluku Tenggara,31,,
459,Kabupaten Seram Bagian Barat,31,,
460,Kabupaten Seram Bagian Timur,31,,
461,Kota Ambon,31,,
462,Kota Tual,31,,
463,Kabupaten Halmahera Barat,32,,
464,Kabupaten Halmahera Tengah,32,,
465,Kabupaten Halmahera Timur,32,,
466,Kabupaten Halmahera Selatan,32,,
467,Kabupaten Halmahera Utara,32,,
468,Kabupaten Kepulauan Sula,32,,
469,Kabupaten Pulau Morotai,32,,
470,Kabupaten Pulau Taliabu,32,,
471,Kota Ternate,32,,
472,Kota Tidore Kepulauan,32,,
473,Kabupaten Biak Numfor,33,,
474,Kabupaten Jayapura,33,,
475,Kabupaten Keerom,33,,
476,Kabupaten Kepulauan Yapen,33,,
477,Kabupaten Mamberamo Raya,33,,
478,Kabupaten Pegunungan Bintang,33,,
479,Kabupaten Sarmi,33,,
480,Kabupaten Supiori,33,,
481,Kabupaten Waropen,33,,
482,Kota Jayapura,33,,
483,Kabupaten Fakfak,34,,
484,Kabupaten Kaimana,34,,
485,Kabupaten Manokwari,34,,
486,Kabupaten Manokwari Selatan,34,,
487,Kabupaten Maybrat,34,,
488,Kabupaten Pegunungan Arfak,34,,
489,Kabupaten Raja Ampat,34,,
490,Kabupaten Sorong,34,,
491,Kabupaten Sorong Selatan,34,,
492,Kabupaten Tambrauw,34,,
493,Kabupaten Teluk Bintuni,34,,
494,Kabupaten Teluk Wondama,34,,
495,Kota Sorong,34,,
496,Kabupaten Jayawijaya,35,,
497,Kabupaten Lanny Jaya,35,,
498,Kabupaten Mamberamo Tengah,35,,
499,Kabupaten Nduga,35,,
500,Kabupaten Tolikara,35,,
501,Kabupaten Yalimo,35,,
502,Kabupaten Yahukimo,35,,
503,Kabupaten Asmat,36,,
504,Kabupaten Boven Digoel,36,,
505,Kabupaten Mappi,36,,
506,Kabupaten Merauke,36,,
507,Kabupaten Deiyai,37,,
508,Kabupaten Dogiyai,37,,
509,Kabupaten Intan Jaya,37,,
510,Kabupaten Mimika,37,,
511,Kabupaten Nabire,37,,
512,Kabupaten Paniai,37,,
513,Kabupaten Puncak,37,,
514,Kabupaten Puncak Jaya,37,,
